Title,Studio,Release Date,Genre,RuntimeBudget,Gross,IMDb Rating
Bedtime Stories,Buena Vista Studios,25-12-08,comedy,99,80,235.2,6.1
Marley and Me,Fox,25-12-08,comedy,115,60,268.1,6.2
The Curious Case of Benjamin Button,Paramount Pictures,25-12-08,drama,166,160,368.8,7.8
Taken,Fox,30-01-09,action,93,25,251.4,7.9
Monsters Vs. Aliens,Pacific Data/DreamWorks,27-03-09,animation,94,175,422.9,6.6
X-Men Origins: Wolverine,Fox,01-05-09,action,107,150,413.6,6.7
The Wolverine,Fox,01-05-09,action,107,150,459.8,6.7
Star Trek,Paramount Pictures,08-05-09,sci-fi,127,140,427.5,8
Angels & Demons,Sony,15-05-09,thriller,138,150,538.6,6.7
Terminator Salvation,WB,21-05-09,action,115,200,411.7,6.7
Night at the Museum: Battle of the Smithsonian,Fox,22-05-09,comedy,104,150,457.9,5.9
Up,Buena Vista Studios,29-05-09,animation,96,175,810.6,8.3
The Hangover,WB,05-06-09,comedy,100,35,518.2,7.8
The Proposal,Buena Vista Studios,19-06-09,comedy,108,40,351.8,6.7
